accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
2.102470857058104103e-01,2.026900494378098827e-01,-9.600035839119922088e+00
2.836711644973752833e-01,2.856522525039339455e-01,-9.500216150824751793e+00
3.710348588296781824e-01,3.733964872953753344e-01,-9.412156495331938544e+00
4.529967934888442516e-01,4.418450879174750101e-01,-9.345963746289337237e+00
5.010915354844761582e-01,5.147332616347761736e-01,-9.281293081188362493e+00
5.697653874824910591e-01,5.611854833814863275e-01,-9.222596301990918732e+00
6.078911817811853968e-01,6.186820173320736194e-01,-9.179282318789365291e+00
6.699910208440422732e-01,6.625863807059172439e-01,-9.132390252197046365e+00
7.230910998480358787e-01,7.110743454122285812e-01,-9.076540462996607772e+00
7.518443301639081700e-01,7.626925023416203375e-01,-9.033126878659162529e+00
7.929812177812407548e-01,7.759687861766630945e-01,-9.022342204252591813e+00
8.190080957044322263e-01,8.057906721584274790e-01,-8.971433101445139613e+00
8.444745348319402378e-01,8.288135049746846450e-01,-8.956041968431511791e+00
8.878882734216375638e-01,8.654923401445696607e-01,-8.929455741794376067e+00
8.877497858252587637e-01,8.940250838992571669e-01,-8.895360772435401131e+00
9.187535696439281807e-01,9.199223775569300710e-01,-8.871552996345783981e+00
9.262808844828187560e-01,9.322352361892194406e-01,-8.863633886688827346e+00
9.492828252647108611e-01,9.474602287332373196e-01,-8.839544500923381065e+00
9.530410337446710844e-01,9.754001613705788332e-01,-8.842025279894391687e+00
9.757909257242985968e-01,9.800588800053643412e-01,-8.812894865681663248e+00
9.884275221483896923e-01,9.988267962770445152e-01,-8.797987980072026204e+00
1.018750888765481699e+00,9.934599467233111714e-01,-8.786074528117003624e+00
1.013580240351123818e+00,1.020741790941192439e+00,-8.763756693149211685e+00
1.024440657715080194e+00,1.026269825353398391e+00,-8.770369203522612622e+00
1.011515873519646336e+00,1.007623848335159611e+00,-8.781506165816942655e+00
1.036121733994282090e+00,1.025187767146381601e+00,-8.761150085828358414e+00
1.041224298520573965e+00,1.051455996683899885e+00,-8.757312521609073031e+00
1.044895604701353564e+00,1.060931154408549792e+00,-8.750737192094382166e+00
1.039548091365048998e+00,1.046529089196430284e+00,-8.753343701366436136e+00
1.058784305696396810e+00,1.050224323273871274e+00,-8.745005183776429547e+00
1.065409927317010563e+00,1.054718053631380936e+00,-8.732284099376805386e+00
1.072069920744963545e+00,1.051005903056421831e+00,-8.734121593049621879e+00
1.078663725306546306e+00,1.062007167885189451e+00,-8.705005575891830105e+00
1.061654593495952481e+00,1.079383888552983617e+00,-8.719468663360810723e+00
1.083357870242014576e+00,1.072819201501278519e+00,-8.727303904158473458e+00
1.076687787431737986e+00,1.089652272341623318e+00,-8.713986188059054783e+00
1.075706748415012015e+00,1.074447752114112031e+00,-8.712577934204047025e+00
1.072912034918383828e+00,1.081896427076790790e+00,-8.695455568658397638e+00
1.079885865663567035e+00,1.072644505665310222e+00,-8.714539955282580408e+00
1.086232057033980958e+00,1.088142923032514142e+00,-8.710925386601212850e+00
1.075962235649005061e+00,1.087933409941299834e+00,-8.713823516745495823e+00
1.081832327241979419e+00,1.084843603139075130e+00,-8.691165299588389459e+00
1.088108657466156926e+00,1.097752446949926020e+00,-8.717980672968094424e+00
1.083975200845445519e+00,1.077437898162101781e+00,-8.714130007193858773e+00
1.077070399095353181e+00,1.088924011490609578e+00,-8.704073738138369265e+00
1.095034359869282437e+00,1.111541349911021603e+00,-8.702778564704766850e+00
