mag_x (uT),mag_y (uT),mag_z (uT)
3.308788051433470656e+01,-1.725303953027815529e-01,3.622319962325330778e+01
3.308131249587462008e+01,1.142483426985393263e-01,3.633959924156833665e+01
3.312278880334044828e+01,5.821534681569261703e-03,3.618555115240976505e+01
3.305675689538634998e+01,-1.010480045916997138e-01,3.642182939682383847e+01
3.322822730466149466e+01,-9.739242862520322563e-02,3.636800024323782310e+01
3.309086498543802435e+01,-6.657737923951526082e-02,3.623518302281397041e+01
3.309762389949155903e+01,-8.100534205127894738e-02,3.636558818476667199e+01
3.318945598274260789e+01,-7.271408386377099797e-02,3.643685623128180850e+01
3.310085138651654546e+01,9.808570415558359734e-02,3.640118789024433710e+01
3.319285101304105723e+01,-1.226130696998492670e-01,3.634868542039026096e+01
3.302325301923548295e+01,-1.535991230515540984e-01,3.627876587826722954e+01
3.312032886622964156e+01,1.129288664553117355e-01,3.605385095247171989e+01
3.300167750729628580e+01,-7.166299426956009022e-02,3.619792524852903881e+01
3.317771002206487196e+01,-1.597624116226441515e-01,3.621382442444098615e+01
3.301531567068532524e+01,-9.970951933546395862e-02,3.631294154578149147e+01
3.314463275291532796e+01,5.474189238398936841e-03,3.620904438424528848e+01
3.323213703983082468e+01,-4.590780590083650553e-02,3.621549019710671757e+01
3.326107090460261162e+01,-6.033988594220405371e-02,3.632526997812163927e+01
3.301828734862269243e+01,3.299561084270465766e-02,3.641707576814672365e+01
3.321388408634241785e+01,2.599019331139447789e-02,3.619998054152648592e+01
3.315476120369606861e+01,1.686061010733610754e-01,3.635095436619174336e+01
3.295278250771717410e+01,-7.696638092713936619e-02,3.623094260816790069e+01
3.321200471202078575e+01,-1.827352921178896847e-02,3.630927901237954813e+01
3.309838734145424155e+01,-1.320472497217392398e-02,3.630191741004072981e+01
3.319531922357676024e+01,-2.125358706530413797e-02,3.627721650990819313e+01
3.321974566749255331e+01,5.286292075475174101e-02,3.654015835201326468e+01
3.318289492075235358e+01,1.331356130613889077e-01,3.611887721033345144e+01
3.301834253775125205e+01,-3.235374579914286793e-03,3.639453282361116493e+01
3.318703803038712863e+01,6.033143594979905461e-02,3.615638081326349607e+01
3.290673319768258409e+01,-2.024748418931826555e-02,3.612203217964543711e+01
3.333043112760213944e+01,1.547949221506355645e-02,3.611191137683770336e+01
3.287857546534449682e+01,-1.246244974178756515e-01,3.624389536190941641e+01
3.317237989615475158e+01,-8.024126538798045938e-02,3.642643262220380507e+01
3.301028357806746527e+01,-2.538263608663409721e-01,3.632556421338397001e+01
3.304188647174328963e+01,-6.730405285569632245e-03,3.633603356082405611e+01
3.305793358978897345e+01,-7.939237995167508499e-02,3.625818424311980692e+01
3.321381207881590569e+01,-1.237016763147697485e-01,3.621808271766791165e+01
3.319701598902980777e+01,-1.311827006465871859e-01,3.610379352439986889e+01
3.297057850136135926e+01,-5.609617512641532078e-02,3.622198603357259827e+01
3.300837593428561689e+01,-3.872192514988873763e-02,3.631165444670433828e+01
3.292077211392435032e+01,5.554755695823796607e-02,3.635500204784479905e+01
3.315872337753445720e+01,8.926310889895995582e-02,3.637010660135394602e+01
3.302205807004403937e+01,8.675096167206199083e-02,3.621231256848754043e+01
3.327768435955199777e+01,-3.549025383566118026e-03,3.621446933893569309e+01
3.326474047999657557e+01,8.919292827443393856e-03,3.629894942615579367e+01
3.315343763658788845e+01,1.779223686519800229e-01,3.638881519257154906e+01
3.311334962605582177e+01,5.269075117597976643e-02,3.615333117886103054e+01
3.327575957089364067e+01,1.659526223296616323e-02,3.627888058399083349e+01
3.315021519034712583e+01,5.746595005206148882e-02,3.622324219907730480e+01
3.308609334707261951e+01,3.830506090277979031e-02,3.631055177879154172e+01
3.310535700913392532e+01,-3.611351224286304257e-02,3.636601243366114744e+01
3.317497378422908128e+01,1.212374104443287443e-02,3.617310414942366492e+01
3.306566893686195385e+01,-6.957841319523263082e-03,3.635972147447454716e+01
3.316220356888393184e+01,5.246907049985232580e-02,3.621477365139147508e+01
3.319715361775390505e+01,-6.999671413005222054e-02,3.636248442709921846e+01
3.324537099198702350e+01,-1.459682457885479179e-01,3.628981633921875272e+01
3.319304285436362534e+01,-3.488279655466066526e-02,3.621862546938729821e+01
3.294497815941389263e+01,-1.504149022749171893e-01,3.629374025902292544e+01
3.322160402189321360e+01,-9.772697262785422223e-03,3.640257962043482109e+01
3.325660824540739213e+01,1.289640404787337040e-02,3.620322944548331634e+01
3.309792871926662627e+01,3.462433014679815180e-02,3.627423537842838641e+01
3.309782922491572066e+01,-4.313065766333035872e-02,3.623204281465157095e+01
3.310975440208056142e+01,-1.010350798519302623e-01,3.653499837598587874e+01
3.327516102826692190e+01,-8.530470881039813047e-02,3.620579433778253531e+01
3.319362171286123697e+01,-9.973945330013245236e-02,3.627073354067481858e+01
3.316621745213167571e+01,-4.833960573257736759e-02,3.623170508036270832e+01
3.313610482174786398e+01,-9.115886459576549861e-02,3.634942022148915441e+01
3.308624353198687373e+01,-1.267119644267548362e-01,3.634529507407476245e+01
3.328021082082124593e+01,2.944378306839204318e-02,3.633269348395622700e+01
3.308242018934593887e+01,3.453698876577825094e-02,3.634743821935187214e+01
3.297934220093029012e+01,-1.308229860189746574e-01,3.646303423869328952e+01
3.301644241516661538e+01,2.315450492515694347e-02,3.645122601942541252e+01
3.314416717656691702e+01,1.585843192755669734e-02,3.649852032151733994e+01
3.311297212221609243e+01,6.048488689926302675e-02,3.635386501278956217e+01
3.307101329697434267e+01,-3.094261706789493485e-02,3.630879959684005343e+01
3.320023043902986615e+01,2.782960690744300594e-02,3.622141376601320673e+01
3.299213646675439549e+01,3.515857980735766219e-02,3.635565804121538491e+01
3.295232272768095072e+01,-1.048926575536546918e-01,3.633795696215343440e+01
3.306317850695922544e+01,1.842346782447468190e-01,3.631212907751505981e+01
3.308031215644592038e+01,-3.529163937979495208e-02,3.631409443392636405e+01
3.310632114263513159e+01,7.404902922456357839e-02,3.631975464508031592e+01
3.306324931053900684e+01,4.034732339795460421e-02,3.621773022383037244e+01
3.305526241356381689e+01,-6.242730012122217620e-02,3.628438072171304896e+01
3.319339190403263018e+01,-9.639413594789633666e-03,3.638133673659731926e+01
3.304819186367873840e+01,1.067175549928259665e-01,3.632565407574300309e+01
3.315915675362632697e+01,-3.375530219422375605e-02,3.633198985209305931e+01
3.313298777508599358e+01,4.265465224929159359e-04,3.617286605113121567e+01
3.310801409605664247e+01,-1.243984975798889323e-02,3.618396595972458130e+01
3.308232897580113985e+01,-2.681279267612500516e-02,3.633602654785989472e+01
3.304418794525286529e+01,-4.791849793607819152e-03,3.633611505647012763e+01
3.307784462001654902e+01,4.881680719676945862e-02,3.617551556143023817e+01
3.286709451438824914e+01,-1.562337566617069129e-01,3.628555605211223423e+01
3.302542529256685100e+01,-3.826547652730116073e-02,3.624590901992385739e+01
3.316183196578911208e+01,-3.316925054947363061e-02,3.618630107313858701e+01
3.308561015748192347e+01,7.115702278921764989e-02,3.612853664569563961e+01
3.321917336108088392e+01,-6.702643953818363150e-03,3.628091194938220099e+01
3.322999177301102236e+01,-9.108774750548588595e-02,3.634717002498148020e+01
3.310533824817191118e+01,-9.398730458197697424e-02,3.630110257379946859e+01
3.310713000974637055e+01,-3.781087889234096416e-02,3.635283694596596149e+01
3.321876390485901709e+01,-1.466314587579359112e-02,3.618439702522284307e+01
3.318935801006426800e+01,-1.206422954524141722e-01,3.631838101176649758e+01
3.304904133341404560e+01,-1.077392885638020908e-01,3.617199793252748918e+01
3.296402875248015363e+01,-7.303938350523510314e-02,3.620537012313377545e+01
3.302024883738670979e+01,-5.334996833579665199e-03,3.633669291493715292e+01
3.330443619925116394e+01,1.815381492349494447e-02,3.628865992826008835e+01
3.305194175587508454e+01,4.983175107310145596e-02,3.607447702968731562e+01
3.331181874311905489e+01,9.392057677170136121e-02,3.635514180598845968e+01
3.305103543261108001e+01,-1.107439596357809031e-01,3.612602614342351615e+01
3.309948453672345181e+01,2.938909533990557987e-02,3.623138539979426298e+01
3.297759541694985330e+01,8.870277354023409222e-02,3.631056100169896439e+01
3.327005184054883813e+01,8.556761886505222237e-02,3.637921098493940519e+01
3.302365317516970578e+01,8.878388462601846665e-02,3.648804224789003570e+01
3.320109821288918539e+01,8.625531459962045011e-02,3.644961370580270454e+01
3.315152704331318745e+01,3.311932946221499141e-02,3.627606763777748711e+01
3.311389444971090512e+01,5.623240643741735101e-02,3.645714041602437305e+01
3.327668397685932433e+01,-6.508243385066794784e-02,3.608030636047286777e+01
3.322654897799623086e+01,9.391385724612423547e-02,3.628934827762344639e+01
3.320960224991753051e+01,-1.705281637779186843e-01,3.637226454509095674e+01
3.308372039215625193e+01,1.716843922459887831e-02,3.645846889499444643e+01
3.318166521384316781e+01,1.819187280655890082e-01,3.610318733066009855e+01
3.310266466073212399e+01,2.002303809122639444e-02,3.624587342157666114e+01
3.305072510777658579e+01,8.557427336897510672e-02,3.622084706481868466e+01
3.304126189245292977e+01,-5.003798091716199492e-02,3.626912752959120922e+01
3.315273279956982577e+01,-2.789960009832255783e-01,3.623932652562202605e+01
3.330044525184538173e+01,9.955321016972541043e-03,3.621001171488759951e+01
3.298199069521697879e+01,2.482130935993710416e-03,3.616577416822967450e+01
3.312263755122256725e+01,-5.043832190456235681e-02,3.624224815706846670e+01
3.314506796682424294e+01,-4.981300305077651647e-02,3.629094642702975193e+01
3.314709779807194678e+01,3.087650932610568055e-02,3.613287927020980561e+01
3.310357349632059254e+01,6.819587983298724954e-02,3.637785916863636260e+01
3.323842997655862774e+01,6.530012328177812152e-03,3.619348720528067531e+01
3.320347754279481478e+01,7.953948836116418730e-02,3.647460668941446471e+01
3.322079676304829832e+01,1.479717934332822338e-01,3.642054275299039290e+01
3.308132686184310245e+01,4.167326077436173115e-02,3.638987246012175802e+01
3.304775280980037167e+01,-1.845119779890595085e-02,3.612010514534347294e+01
3.296243933190441311e+01,-9.629190146504808256e-02,3.632056184940125121e+01
3.302671639287424199e+01,-6.395442025865054336e-02,3.625878619665764546e+01
3.313965662804012169e+01,2.539034111845095421e-02,3.635043807007439653e+01
3.311376144397044641e+01,-5.121419301775512883e-02,3.610660455129027469e+01
3.324186159238750093e+01,-8.574564074639023925e-02,3.638602502460714305e+01
3.320908462379721016e+01,-2.384121090193618356e-02,3.645063174384040394e+01
3.312925783624385900e+01,-1.236433233969635864e-01,3.641479548964567670e+01
3.313459816230351151e+01,9.955968118260018901e-03,3.633124324416034767e+01
3.316464459398758891e+01,-6.634772548938530634e-02,3.622870422545734925e+01
3.294323649586021929e+01,6.320420187785305566e-02,3.629628919622301453e+01
3.313590996249494225e+01,8.851771567733068835e-02,3.637905614751834804e+01
3.306112144631072880e+01,1.082048473290083135e-01,3.636154255557772075e+01
3.318014667172081289e+01,-6.997374259173481936e-02,3.633689904220574363e+01
3.328276776904122869e+01,-2.132967372933450290e-01,3.642465472161084961e+01
3.334987930111192611e+01,8.470099672568454086e-02,3.613361932746589389e+01
3.319767176214556059e+01,6.850032701394495604e-02,3.624871614727238978e+01
3.302586073957731827e+01,-1.255197120128300481e-01,3.631206530007819566e+01
3.297281391760499503e+01,7.592469192223993968e-02,3.632603485507899421e+01
3.307866915875359126e+01,1.115965593873707445e-01,3.623219000423724623e+01
3.310149316257923147e+01,-9.356181734040890444e-03,3.644963627112976212e+01
3.308582943591478198e+01,3.853886960535499173e-02,3.634912928679379718e+01
3.321555092436712897e+01,-2.385721609897038797e-02,3.624600670379921752e+01
3.319608099013392177e+01,1.399120417336819355e-01,3.627671161258704302e+01
3.316932175044799180e+01,-1.313397964977753574e-01,3.627185323288552610e+01
3.296120731262247716e+01,4.052091611116950820e-02,3.616166230757580280e+01
3.302694427309126013e+01,1.192568524173503869e-01,3.643518434095997804e+01
3.299085707744680462e+01,4.461423059688733594e-02,3.623059637019480306e+01
3.305815259127344774e+01,8.495808686652391029e-02,3.626923241985264212e+01
3.305524018265757036e+01,-9.594049796251408191e-02,3.616932348356939286e+01
3.297043247236000951e+01,2.618460645554431809e-01,3.630550612627447293e+01
3.295168369123777552e+01,1.442842092976154506e-03,3.618782259347134556e+01
3.315525733514517981e+01,8.882159705903483818e-03,3.633087449709062611e+01
3.309714527894492164e+01,-7.431520670983793320e-02,3.614814188198876366e+01
3.305222048250541889e+01,-2.822043092465478797e-01,3.614352820271209765e+01
3.299025026365391966e+01,1.115531903861197854e-02,3.655678022249034598e+01
3.315208305129026201e+01,-5.587737129858824647e-02,3.636081246058836314e+01
3.313302557440889728e+01,-9.966680363456246333e-03,3.618972186717975603e+01
3.310059715932152358e+01,-2.440358787728526182e-03,3.626770938294095004e+01
3.306698515844067288e+01,-3.603727798831468654e-02,3.637431143233972364e+01
3.324127343686456015e+01,-1.223351946306213134e-01,3.604584062119855759e+01
3.320392901296838062e+01,6.942119879428669538e-02,3.620600366646640822e+01
3.308709270106407274e+01,-5.812053995101018264e-03,3.632201775735973115e+01
3.323930134429140537e+01,3.458625906144512790e-02,3.617337912351438689e+01
3.296605910075557944e+01,-2.076440463642025280e-01,3.626839286014244124e+01
3.308719049881879926e+01,-9.992029768020355140e-02,3.635674142800346686e+01
3.306973170577882826e+01,-8.485323084471020627e-02,3.636988477262148933e+01
3.323603213449198535e+01,-1.617076647779859822e-01,3.618184940575832087e+01
3.318876383619218018e+01,9.425958224103142546e-02,3.634368476569126472e+01
3.298517586946780966e+01,1.427633603700732279e-01,3.629390384222758570e+01
3.295899786447209578e+01,-1.222228713783734683e-01,3.633677132990503367e+01
3.308777033606856577e+01,-4.132209378189413695e-02,3.632370002917232910e+01
3.316359602134528473e+01,-7.223588892766372171e-02,3.622362490595915574e+01
3.297256150370296979e+01,-5.792464094702716795e-03,3.635396619543909225e+01
3.327483662226989480e+01,-5.276586394560728310e-02,3.626024583539309987e+01
3.310991654048517319e+01,1.248999145748639211e-01,3.625432478981966966e+01
3.320461178400383773e+01,-6.617438381637011369e-02,3.634011081890850647e+01
3.310283307798790986e+01,-3.220235270755323481e-02,3.622759283453856938e+01
3.307438028797609775e+01,-6.563600235647983061e-02,3.621919255079682642e+01
3.311069741084565266e+01,1.750924219114617097e-01,3.639414211514235120e+01
3.332409610487760432e+01,-6.129960243830709365e-02,3.625182680319586837e+01
3.331284988975937011e+01,-1.139674867176175277e-01,3.621627466242549076e+01
3.317773572731629628e+01,-1.042901021274644235e-01,3.640878856794245166e+01
3.312051829567625560e+01,-1.394094501359550708e-01,3.614360798126734409e+01
3.321986678428357465e+01,3.749737590815789556e-02,3.629859967362019546e+01
3.322209233159839670e+01,1.905719232487608494e-02,3.628092765124678465e+01
3.319146950049943001e+01,1.103112595956534936e-01,3.630989173918705148e+01
3.310551878626483102e+01,2.411215109309643168e-02,3.632959760043192432e+01
3.306936817568833220e+01,-7.001697540981671741e-02,3.615844488644848553e+01
3.307767938290015053e+01,-1.557213779359951922e-01,3.635738359145216236e+01
3.313249647364499850e+01,3.811114876122852907e-02,3.626552800710258140e+01
3.319016881381647721e+01,1.226063570209608156e-01,3.629942434490292413e+01
3.305908403220194458e+01,9.418121366818898998e-02,3.634401773508970734e+01
3.300317229465325397e+01,4.189467911606716000e-02,3.630880167522217050e+01
3.327361694430215522e+01,-3.203300766587059700e-02,3.635184423608101412e+01
3.309730010149415591e+01,-6.300232613219512723e-02,3.636027240872901700e+01
3.303067908472856118e+01,2.022258949089414670e-01,3.627244851945194171e+01
3.324026473234339107e+01,1.085226765193645360e-01,3.634579724496004616e+01
3.314117320566352731e+01,-1.736700780412641157e-02,3.631773701403515986e+01
3.309580503825326048e+01,2.863854375526591126e-02,3.630041283172609923e+01
3.335386286058013638e+01,-8.001677185598843334e-02,3.636077884504550894e+01
3.312397742296198544e+01,-5.837478770832491004e-02,3.626385099787999167e+01
3.313680198625863227e+01,-2.933032993640151756e-02,3.615186267974988965e+01
3.300597496743975512e+01,4.018975903696204999e-02,3.637063755468766146e+01
3.333396496626428274e+01,-7.324313818808424192e-02,3.637574686440422767e+01
3.302822262845583623e+01,-5.488925896761372158e-02,3.614721333912643786e+01
3.309770153304164353e+01,9.985188356824972744e-02,3.634266685749414449e+01
3.333152539757529098e+01,-1.141523121409284691e-01,3.623401310525617447e+01
3.297414725634725130e+01,-6.736169957612997417e-02,3.625446782266278234e+01
3.324300440444002902e+01,-8.147467648363566906e-02,3.637639804600109983e+01
3.304327704217418216e+01,-1.362155195940424959e-02,3.628411585909853443e+01
3.314182351450015318e+01,1.228677435566009335e-01,3.627627373551832335e+01
3.300145631844890914e+01,7.511106375270767965e-02,3.634571474983746953e+01
3.316587165065604381e+01,-5.862364067978532989e-02,3.632800645387463589e+01
3.319763075757200710e+01,1.430270236745866674e-01,3.639760421541623714e+01
3.319433385232851208e+01,-1.505623267379693070e-02,3.623106831216099266e+01
3.309825460770897365e+01,-1.722827097013215208e-02,3.632221064117161546e+01
3.306250877812929190e+01,-1.797745768530252253e-01,3.629294598032674202e+01
3.305791956953115118e+01,3.538493973851848749e-03,3.630114945965859619e+01
3.322924056918316893e+01,1.652463944696967377e-02,3.640961505959215572e+01
3.326579630463075432e+01,1.137387709422082588e-01,3.634232689315356879e+01
3.299819902747153577e+01,3.859087091469550618e-02,3.621030777997530947e+01
3.313473565490693318e+01,-2.414192780058058846e-02,3.634057977446488508e+01
3.316678338128119208e+01,-8.681651520255545540e-02,3.624406037318532015e+01
3.301886110287350107e+01,-1.182993620978932542e-01,3.632994615932508964e+01
3.325551794601172162e+01,1.321245547721084171e-02,3.626619763607524760e+01
3.302626079053782604e+01,-9.970547979967286922e-02,3.628888952257363343e+01
3.316079119277474518e+01,4.319957082231919154e-02,3.634467644546472087e+01
3.323049095649022178e+01,-1.380407584835676577e-02,3.623455833844534624e+01
3.302894704136540582e+01,-1.149664657391115397e-01,3.631666648037455047e+01
3.319562352291547569e+01,-1.145777643278453467e-01,3.645058881489570979e+01
3.318233517216664552e+01,1.423583398492312690e-01,3.613824584971393250e+01
3.309147034465620862e+01,1.854942596519254250e-01,3.641609148492828041e+01
3.310639939491255745e+01,-1.088661706415333524e-01,3.630435918515917848e+01
3.306747638897111585e+01,1.687561882053536522e-01,3.617857411775590748e+01
3.320334281630086792e+01,9.716009360774264039e-03,3.623396112647155576e+01
3.316941105237690834e+01,8.257940669332827083e-03,3.639170604620633753e+01
3.325821538087902240e+01,4.002097253075942440e-02,3.620803865254546849e+01
3.306937088719043771e+01,2.955575139650716554e-03,3.632967955765056445e+01
3.315288905841908473e+01,-2.458903090509085079e-02,3.635912360376991614e+01
3.316831296274429519e+01,-5.364923595556504721e-02,3.630118715864329459e+01
3.307806517385609624e+01,-4.439690699549447839e-02,3.623688086487305071e+01
3.335177189591183122e+01,8.374973643894212394e-02,3.619824517155493027e+01
3.314703627854203916e+01,3.539425443647480768e-02,3.644891165048842652e+01
3.324551628604536546e+01,1.691470141556100926e-01,3.608728329580313954e+01
3.310217451126501231e+01,6.199390353940668202e-02,3.617033185754310409e+01
3.314609430301066340e+01,-4.305788508077701415e-02,3.621897320447549617e+01
3.300218773145500961e+01,-6.376220086416684030e-02,3.627921287861799726e+01
3.311210659631459663e+01,-1.260699711078306084e-01,3.629944969408366973e+01
3.325588281490839648e+01,-9.739820224125600445e-02,3.656128538331389422e+01
3.307754827001878084e+01,-3.328371970757931092e-02,3.632733555515662971e+01
3.316638730097896826e+01,2.197705128254703877e-02,3.631442032627863625e+01
3.306471075422130212e+01,1.365691774343604503e-01,3.621134687683063902e+01
3.302697980470011174e+01,1.342622836497186223e-01,3.633549110496942092e+01
3.315288785127695803e+01,6.641162772552219179e-03,3.615505602654901907e+01
3.321258105255705573e+01,-5.572810352113382465e-02,3.612942909696715077e+01
3.326771944423195748e+01,-1.492434848711096662e-01,3.638794741960471413e+01
3.311318347257208217e+01,1.391180620752987540e-01,3.619616488758476436e+01
3.305896533845124452e+01,-2.004725352363848079e-02,3.623166101262173555e+01
3.319957786509851871e+01,-3.192331803715822147e-01,3.621393298301157415e+01
3.310563295802694483e+01,-1.710581445356788022e-01,3.645011742811740874e+01
3.293505000715106945e+01,2.832063749876995856e-02,3.628886292777753653e+01
3.315696273229927726e+01,2.814153580574264152e-02,3.628368485574118552e+01
3.325819170699525529e+01,-1.623633349954777261e-01,3.620914504243749121e+01
3.308654927963266346e+01,4.280440763345298369e-03,3.630638030561393492e+01
3.311068443911156578e+01,4.557113062182150537e-02,3.623522499951847919e+01
3.310738960360759364e+01,7.835550932193761572e-03,3.615754149194943778e+01
3.322536456407625138e+01,-9.547269001374208974e-02,3.637585287821976721e+01
3.307216559127748923e+01,-5.361538033480446608e-02,3.635702246061904219e+01
3.292691580191706890e+01,1.285738486558251348e-01,3.627004263661912375e+01
3.299468379586972588e+01,-2.065953697845829273e-01,3.630550261260692224e+01
3.319686829916268778e+01,2.754352275431570796e-02,3.637171028918618276e+01
3.319874904083658151e+01,-1.375408960460335339e-01,3.634800826421116682e+01
3.295768067485324337e+01,-3.364762842413664828e-02,3.639212476455033141e+01
3.309559223193321031e+01,-1.728563351312201180e-01,3.623768541749396377e+01
3.325040760586433208e+01,-1.655323239060227658e-01,3.617221823888029064e+01
3.318016854548673678e+01,1.019961831510095424e-01,3.628270681146332777e+01
